Collected_date,Sample_label,Sampling_area,Site_number_or_spp,Entered_by,Determination_date,Taxon_Species,Taxon_Family,Taxon_label,Key,ID_by,Notes
7/9/25,SP-9025-VOUCHER,SP,9025,,8/4/25,Bromopsis sp.,Poaceae,Poaceae-Bromopsis sp.,Grasses of Colorado,"HX, WG, CFW",
7/9/25,SP-9007-VOUCHER,SP,9007,,8/4/25,Bromopsis ciliata,Poaceae,Poaceae-Bromopsis ciliata,Grasses of Colorado,"HX, WG, CFW",
7/9/25,SP-1542-VOUCHER,SP,1542,,7/30/25,Salix glauca,Salicaceae,Salicaceae-Salix glauca,Intermountain Flora,"HX, WG",
7/9/25,SP-1539-VOUCHER,SP,1539,,7/30/25,Salix monticola,Salicaceae,Salicaceae-Salix monticola,Intermountain Flora,"HX, WG",
7/9/25,SP-9041-VOUCHER,SP,9041,,8/4/25,Calamagrostis canadensis,Poaceae,Poaceae-Calamagrostis canadensis,Grasses of Colorado,"CFW, WG, HX",
7/11/25,TK-9053-VOUCHER,TK,9053,,8/4/25,Carex sp.,Cyperaceae,Cyperaceae-Carex sp.,Sedges of Colorado,"CFW, WG, HX",No reproductive material
7/11/25,TK-SOLSIM-VOUCHER,TK,SOLSIM,,7/15/25,Solidago simplex,Asteraceae,Asteraceae-Solidago simplex,Flora of Colorado,HX,
7/11/25,TK-1551-VOUCHER,TK,1551,,7/30/25,Salix planifolia,Salicaceae,Salicaceae-Salix planifolia,Intermountain Flora,"HX, WG",
7/11/25,TK-1550-VOUCHER,TK,1550,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/11/25,TK-1552-VOUCHER,TK,1552,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/11/25,TK-1549-VOUCHER,TK,1549,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/11/25,TK-1548-VOUCHER,TK,1548,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/11/25,TK-1547-VOUCHER,TK,1547,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/11/25,TK-1543-VOUCHER,TK,1543,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/11/25,TK-9043-VOUCHER,TK,9043,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/11/25,TK-9042-VOUCHER,TK,9042,,7/17/25,Juncus arcticus,Juncaceae,Juncaceae-Juncus arcticus,Flora of Colorado,HX,"Juncus sp. is safest, but maybe articus from the leaf sheath (no veg. material)"
7/12/25,RL-1561-VOUCHER,RL,1561,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/12/25,RL-1564-VOUCHER,RL,1564,,7/30/25,Salix drummondiana,Salicaceae,Salicaceae-Salix drummondiana,Intermountain Flora,"HX, WG",
7/12/25,RL-1559-VOUCHER,RL,1559,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/12/25,RL-1556-VOUCHER,RL,1556,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/12/25,RL-1558-VOUCHER,RL,1558,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/12/25,RL-1565-VOUCHER,RL,1565,,7/30/25,Salix drummondiana,Salicaceae,Salicaceae-Salix drummondiana,Intermountain Flora,"HX, WG",
7/12/25,RL-1555-VOUCHER,RL,1555,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/12/25,RL-1553-VOUCHER,RL,1553,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/12/25,RL-1554-VOUCHER,RL,1554,,7/30/25,Salix glauca,Salicaceae,Salicaceae-Salix glauca,Intermountain Flora,"HX, WG",
7/12/25,RL-9044-VOUCHER,RL,9044,,7/15/25,Astragalus alpinus,Fabaceae,Fabaceae-Astragalus alpinus,Flora of Colorado,HX,
7/12/25,RL-9045-VOUCHER,RL,9045,HX,7/15/25,Erigeron formosissimus,Asteraceae,Asteraceae-Erigeron formosissimus,Flora of Colorado,HX,
7/12/25,RL-9055-VOUCHER,RL,9055,HX,8/4/25,Deschampsia cespitosa,Poaceae,Poaceae-Deschampsia cespitosa,Grasses of Colorado,"HX, WG",
7/12/25,RL-9056-VOUCHER,RL,9056,HX,7/17/25,Carex macloviana,Cyperaceae,Cyperaceae-Carex macloviana,Sedges of Colorado,CFW,
7/12/25,RL-SOLSIM-VOUCHER,RL,SOLSIM,HX,7/15/25,Solidago simplex,Asteraceae,Asteraceae-Solidago simplex,Flora of Colorado,HX,
7/12/25,RL-9052-VOUCHER,RL,9052,HX,8/4/25,Elymus glaucus,Poaceae,Poaceae-Elymus glaucus,Grasses of Colorado,"HX, WG",
7/12/25,RL-1567-VOUCHER,RL,1567,HX,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/13/25,RB-9068-VOUCHER,RB,9068,,7/17/25,Juncus cf. drummondii,Juncaceae,Juncaceae-Juncus cf. drummondii,Flora of Colorado,HX,"Juncus sp. is safest, but maybe drummondii from the leaf sheath bristle (no veg. material)"
7/13/25,RB-9067-VOUCHER,RB,9067,,7/15/25,Oxytropis deflexa,Fabaceae,Fabaceae-Oxytropis deflexa,Flora of Colorado,HX,
7/13/25,RB-9069-VOUCHER,RB,9069,,7/17/25,Carex aquatilis,Cyperaceae,Cyperaceae-Carex aquatilis,Sedges of Colorado,HX,
7/13/25,RB-9054-VOUCHER,RB,9054,,7/17/25,Carex aquatilis,Cyperaceae,Cyperaceae-Carex aquatilis,Sedges of Colorado,HX,
7/13/25,RB-9058-VOUCHER,RB,9058,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/13/25,RB-1577-VOUCHER,RB,1577,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/13/25,RB-1574-VOUCHER,RB,1574,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/13/25,RB-1576-VOUCHER,RB,1576,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/13/25,RB-1570-VOUCHER,RB,1570,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/13/25,RB-1568-VOUCHER,RB,1568,,7/30/25,Salix planifolia,Salicaceae,Salicaceae-Salix planifolia,Intermountain Flora,"HX, WG",
7/13/25,RB-1575-VOUCHER,RB,1575,,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/13/25,RB-1569-VOUCHER,RB,1569,,7/30/25,Salix glauca,Salicaceae,Salicaceae-Salix glauca,Intermountain Flora,"HX, WG",
7/13/25,RB-9059-VOUCHER,RB,9059,,7/17/25,Carex aquatilis,Cyperaceae,Cyperaceae-Carex aquatilis,Sedges of Colorado,HX,
7/13/25,RB-9070-VOUCHER,RB,9070,,7/15/25,Fragaria virginiana,Rosaceae,Rosaceae-Fragaria virginiana,Flora of Colorado,HX,
7/13/25,RB-9057-VOUCHER,RB,9057,,7/15/25,Antennaria corymbosa,Asteraceae,Asteraceae-Antennaria corymbosa,Flora of Colorado,HX,
7/14/25,RU-1579-VOUCHER,RU,1579,IKB,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/14/25,RU-1581-VOUCHER,RU,1581,IKB,7/30/25,Salix glauca,Salicaceae,Salicaceae-Salix glauca,Intermountain Flora,"HX, WG",
7/14/25,RU-1580-VOUCHER,RU,1580,IKB,7/30/25,Salix drummondiana,Salicaceae,Salicaceae-Salix drummondiana,Intermountain Flora,"HX, WG",
7/14/25,RU-1584-VOUCHER,RU,1584,IKB,7/30/25,Salix wolfii,Salicaceae,Salicaceae-Salix wolfii,Intermountain Flora,"HX, WG",
7/14/25,RU-1585-VOUCHER,RU,1585,IKB,7/30/25,Salix drummondiana,Salicaceae,Salicaceae-Salix drummondiana,Intermountain Flora,"HX, WG",
7/14/25,RU-9066-VOUCHER,RU,9066,IKB,7/15/25,Astragalus alpinus,Fabaceae,Fabaceae-Astragalus alpinus,Flora of Colorado,HX,"Non-fuzzy, dry meadow"
7/14/25,RU-9071-VOUCHER,RU,9071,IKB,8/4/25,Carex geyeri,Cyperaceae,Cyperaceae-Carex geyeri,Sedges of Colorado,"CFW, WG, HX","Dry site, rocky meadow"
7/14/25,RU-9061-VOUCHER,RU,9061,IKB,7/17/25,Carex ebenea,Cyperaceae,Cyperaceae-Carex ebenea,Sedges of Colorado,CFW,"Wet site, streamside"
7/14/25,RU-9072-VOUCHER,RU,9072,IKB,8/4/25,Poa pratensis,Poaceae,Poaceae-Poa pratensis,Grasses of Colorado,"HX, WG, CFW",Mesic meadow
7/14/25,RU-9065-VOUCHER,RU,9065,IKB,7/17/25,Juncus arcticus,Juncaceae,Juncaceae-Juncus arcticus,Flora of Colorado,HX,"Wet site, streamside"
?,?,?,9038,HX,7/17/25,Juncus arcticus,Juncaceae,Juncaceae-Juncus arcticus,Flora of Colorado,HX,
?,?,?,9039,HX,7/15/25,Oxytropis deflexa,Fabaceae,Fabaceae-Oxytropis deflexa,Flora of Colorado,HX,
?,?,?,9060,HX,8/4/25,Poa pratensis,Poaceae,Poaceae-Poa pratensis,Grasses of Colorado,"HX, WG, CFW",
7/18/25,SP-1588-VOUCHER,SP,1588,,7/29/25,Ribes cereum,Grossulariaceae,Grossulariaceae-Ribes cereum,Flora of Colorado,HX,
